Word,FREQcount,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Zipf-value
you,2134713,Pronoun,2125610,1.00,Pronoun.Noun,2125610.79,7.62117384
I,2038529,Pronoun,1985051,0.99,Pronoun.Letter.Number.Noun,1985051.14126.11140.36,7.601151249
the,1501908,Article,1499459,1.00,Article.Adverb.Noun.Preposition.Adjective,1499459.774.147.105.1,7.468477762
to,1156570,To,787798,0.68,To.Preposition.Adverb.Noun.Adjective,787798.366834.931.79.68,7.355006441
s,1057301,Letter,7052,0.79,Letter.Verb.Name.Noun,7052.1622.190.15,7.316033196
a,1041179,Article,993445,0.96,Article.Adverb.Letter.To.Noun.Preposition.Adjective,993445.33186.6441.744.257.52.5,7.309359959
it,963712,Pronoun,952682,1.00,Pronoun.Noun.Adverb.Name,952682.2075.78.57,7.27578186
t,733338,Letter,4924,0.89,Letter.Pronoun.Name,4924.444.160,7.157138924
that,719677,Determiner,504680,0.71,Determiner.Conjunction.Adverb.Noun,504680.202232.8459.37,7.148972369
and,682780,Conjunction,680792,1.00,Conjunction.Adverb.Interjection.Noun.Name,680792.745.22.4.4,7.126115569
of,590439,Preposition,553506,0.94,Preposition.Adverb.Adjective.Conjunction.Noun.Name,553506.34686.1413.156.19.15,7.063009914
what,501965,Determiner,499381,1.00,Determiner.Noun,499381.21,6.992508444
in,498444,Preposition,443510,0.89,Preposition.Adverb.Conjunction.Noun.Verb.Adjective,443510.50997.3154.67.49.39,6.989451386
me,471339,Pronoun,470509,1.00,Pronoun.Noun,470509.113,6.96516844
is,459663,Verb,488770,1.00,Verb.Adverb.Noun.Name,488770.730.14.1,6.954274634
we,459607,Pronoun,455958,1.00,Pronoun.Noun.Name,455958.13.1,6.954221722
this,406915,Determiner,404399,1.00,Determiner.Adverb.Noun,404399.1937.27,6.901338909
he,389497,Pronoun,385304,1.00,Pronoun.Noun.Name,385304.14.1,6.882339374
on,354742,Preposition,225639,0.64,Preposition.Adverb.Noun.Adjective,225639.129167.22.13,6.841747977
for,351650,Preposition,344212,0.98,Preposition.Adverb.Conjunction.Noun,344212.5287.1830.50,6.837945999
my,344899,Pronoun,344585,1.00,Pronoun.Noun,344585.14,6.829527337
m,343245,Letter,1644,0.69,Letter.Number.Noun.Name,1644.357.355.13,6.827439627
your,328715,Pronoun,328456,1.00,Pronoun.Noun,328456.12,6.808654986
don,321085,Name,1548,0.46,Name.Noun.Verb,1548.967.830,6.798455512
have,314232,Verb,332099,1.00,Verb.Noun,332099.104,6.789085934
do,312915,Verb,629203,1.00,Verb.Noun,629203.22,6.787261912
re,311072,Preposition,1627,0.97,Preposition.Name,1627.42,6.78469646
no,304549,Interjection,193371,0.64,Interjection.Article.Pronoun.Adverb.Determiner.Noun.Verb.Name,193371.92742.9035.5467.1521.420.204.6,6.775492746
be,293085,Verb,292904,1.00,Verb.Noun,292904.68,6.758829216
know,291780,Verb,291207,1.00,Verb.Noun,291207.50,6.756891151
was,288391,Verb,309709,1.00,Verb.Noun,309709.4,6.751817351
not,276673,Not,282487,1.00,Not.Conjunction.Adverb.Noun,282487.415.8.4,6.733802491
can,267620,Verb,179746,0.99,Verb.Noun.Name,179746.1035.1,6.719354331
are,265672,Verb,277220,1.00,Verb.Noun,277220.9,6.716181562
all,263255,Determiner,162254,0.62,Determiner.Adverb.Adjective.Noun,162254.97871.44.1,6.71221242
with,257465,Preposition,257287,1.00,Preposition.Noun,257287.17,6.702554028
just,242206,Adverb,232666,0.96,Adverb.Adjective.Noun.Name,232666.9038.14.2,6.676020833
get,233772,Verb,233452,1.00,Verb.Noun,233452.18,6.660628492
here,230788,Adverb,230319,1.00,Adverb.Noun,230319.16,6.655049248
but,225291,Conjunction,221517,0.98,Conjunction.Preposition.Adverb.Noun,221517.2668.708.2,6.644579913
ll,224097,Noun,1290,0.98,Noun.Name,1290.22,6.642272123
there,221754,Ex,111258,0.51,Ex.Adverb.Noun.Name,111258.108952.9.1,6.637707563
so,216452,Adverb,192197,0.89,Adverb.Conjunction.Adjective.Noun,192197.23905.23.9,6.627197752
they,209250,Pronoun,207801,1.00,Pronoun.Noun,207801.10,6.612501684
right,204428,Adverb,148137,0.73,Adverb.Adjective.Noun.Verb.Name,148137.41292.14475.200.76,6.602376646
like,203947,Preposition,111581,0.55,Preposition.Verb.Conjunction.Adverb.Adjective.Noun.Name,111581.69662.11417.6065.4991.67.7,6.601353593
out,197131,Adverb,141761,0.72,Adverb.Preposition.Adjective.Noun,141761.55045.82.2,6.58659127
go,193445,Verb,189923,0.98,Verb.Noun,189923.3299,6.578393896
she,190377,Pronoun,185915,1.00,Pronoun.Noun,185915.4,6.571450902
up,187170,Adverb,172938,0.93,Adverb.Preposition.Verb.Adjective.Noun,172938.12815.641.531.12,6.564072703
about,185206,Preposition,164260,0.89,Preposition.Adverb.Noun,164260.20769.13,6.559491539
if,180610,Conjunction,180168,1.00,Conjunction.Noun,180168.73,6.548578339
him,177710,Pronoun,176868,1.00,Pronoun.Noun,176868.1,6.541548453
got,168631,Verb,194337,1.00,Verb.Noun,194337.44,6.518774133
oh,167781,Interjection,166701,1.00,Interjection.Noun,166701.1,6.516579509
at,164072,Preposition,142253,0.87,Preposition.Adverb.Noun,142253.21653.14,6.506871261
now,163333,Adverb,159745,0.98,Adverb.Conjunction.Noun,159745.3231.14,6.50491074
come,160190,Verb,159923,1.00,Verb.Noun,159923.6,6.496472255
one,156684,Number,83699,0.53,Number.Pronoun.Noun,83699.72697.87,6.486861564
how,155867,Adverb,155277,1.00,Adverb.Noun,155277.2,6.484591105
well,152523,Adverb,149100,0.98,Adverb.Adjective.Noun.Preposition.Name.Verb,149100.1674.1004.689.21.4,6.475172328
yeah,152262,Interjection,151848,1.00,Interjection,151848,6.474428524
her,144627,Pronoun,143687,1.00,Pronoun.Noun,143687.9,6.452086523
want,140718,Verb,140488,1.00,Verb.Noun,140488.135,6.440186882
think,137261,Verb,136706,1.00,Verb.Noun,136706.489,6.429384465
good,133117,Adjective,131274,0.99,Adjective.Adverb.Name.Noun,131274.1424.147.61,6.416070926
see,130393,Verb,130089,1.00,Verb.Noun.Name,130089.144.8,6.40709175
let,123381,Verb,121604,1.00,Verb.Noun.Preposition.Name,121604.228.179.3,6.383085948
did,119410,Verb,199195,1.00,Verb.Noun,199195.18,6.368878477
why,114687,Adverb,114406,1.00,Adverb,114406,6.351352121
who,113370,Pronoun,111818,0.99,Pronoun.Name,111818.1019,6.34633612
as,113068,Conjunction,69103,0.61,Conjunction.Preposition.Adverb.Noun,69103.22703.21130.17,6.345177693
his,108364,Pronoun,107681,1.00,Pronoun.Noun,107681.10,6.326723177
