Word,FREQcount,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Zipf-value
abandoned,678,Verb,480,0.71,Verb.Adjective,480.200,4.123703916
ability,980,Noun,975,1.00,Noun,975,4.28350315
able,8155,Adjective,8148,1.00,Adjective,8148,5.203311359
aboard,1358,Adverb,1006,0.75,Adverb.Preposition,1006.342,4.425053599
absolute,577,Adjective,578,1.00,Adjective,578,4.053761981
absolutely,5769,Adverb,5756,1.00,Adverb.Noun,5756.1,5.053009955
abuse,523,Noun,404,0.77,Noun.Verb.Name,404.118.1,4.011165429
academy,633,Noun,633,1.00,Noun,633,4.0939234
accent,621,Noun,609,0.98,Noun.Verb,609.12,4.085624527
accept,2692,Verb,2692,1.00,Verb.Noun,2692.1,4.722070496
accepted,801,Verb,725,0.91,Verb.Adjective,725.76,4.19600851
access,1615,Noun,1318,0.82,Noun.Verb,1318.283,4.500275499
accident,4146,Noun,4138,1.00,Noun,4138,4.909568178
account,2280,Noun,1587,0.70,Noun.Preposition.Verb,1587.355.335,4.649959427
accounts,534,Noun,478,0.90,Noun.Verb,478.55,4.020187924
accused,666,Verb,525,0.79,Verb.Adjective,525.141,4.115959976
ace,751,Noun,579,0.77,Noun.Adjective.Name,579.118.54,4.168051983
act,5565,Verb,2823,0.51,Verb.Noun.Name,2823.2739.3,5.037377344
acted,548,Verb,547,1.00,Verb.Adjective,547.1,4.031406487
acting,2675,Verb,2324,0.87,Verb.Adjective.Noun,2324.190.160,4.719320251
action,3115,Noun,3098,1.00,Noun.Verb.Name,3098.7.2,4.785431591
actions,620,Noun,618,0.99,Noun.Verb,618.4,4.084925742
active,584,Adjective,584,1.00,Adjective,584,4.058990008
activity,657,Noun,657,1.00,Noun,657,4.110060036
actor,1343,Noun,1336,1.00,Noun.Name,1336.1,4.420233411
actors,644,Noun,642,1.00,Noun,642,4.101393857
actress,817,Noun,814,1.00,Noun,814,4.204587446
acts,636,Noun,353,0.56,Noun.Verb,353.283,4.095973574
actual,884,Adjective,882,1.00,Adjective,882,4.238777413
actually,16439,Adverb,16406,1.00,Adverb.Noun,16406.1,5.507735955
ad,694,Noun,609,0.89,Noun.Adverb.Adjective,609.68.6,4.133818947
add,1686,Verb,1681,1.00,Verb.Noun,1681.1,4.518949225
address,2666,Noun,2299,0.86,Noun.Verb,2299.359,4.717857158
admiral,845,Noun,838,1.00,Noun.Name,838.4,4.219204505
admire,722,Verb,723,1.00,Verb,723,4.150972439
admit,3019,Verb,3015,1.00,Verb,3015,4.771841085
adorable,537,Adjective,526,0.99,Adjective.Name,526.6,4.022616418
adult,729,Noun,656,0.90,Noun.Adjective,656.70,4.155157002
advance,815,Noun,592,0.73,Noun.Verb.Adjective,592.215.7,4.203524301
advantage,1125,Noun,1121,1.00,Noun.Verb,1121.2,4.343372533
